"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"NM71",563,0,0.047,37.62,26.44,0.74,0.2,4.3,9
"NM72",564,0,0.036,63.82,34.12,0.74,0.2,6.2,10
"NM73",565,0,0.053,47.2,34.57,0.74,0.2,4.8,5
"NM74",566,0,0.052,35.92,35.09,0.74,0.3,5.5,12
"NM75",567,0,0.051,39.28,34.98,0.74,0.3,5.3,12
"NM76",568,0,0.058,37.58,39.36,0.74,0.3,5.8,10
"NM77",569,0,0.036,49.2,38.96,0.74,0.3,6.3,23
"NM78",570,0,0.033,44.06,42.33,0.74,0.3,6.8,32
"NM79",571,0,0.041,47.47,37.59,0.74,0.3,6.4,15
"NM80",572,0,0.098,18.26,32.47,0.74,0.5,4.4,26
"NM81",573,0,0.051,47.22,37.63,0.74,0.3,5.9,12
"NM82",574,0,0.085,27.94,28.19,0.74,0.4,5.1,9
"NM83",575,0,0.056,63.02,30.12,0.74,0.3,6.2,5
"NM84",576,1,0.056,33.42,36.74,0.74,0.3,4.2,13
"NM85",577,0,0.055,33.63,38.02,0.74,0.3,5.3,15
"NM86",578,0,0.058,32.57,39.54,0.74,0.4,6.5,15
"NM87",579,0,0.037,53.36,39.28,0.74,0.2,6.2,17
"NM88",580,0,0.03,57.77,39.77,0.74,0.2,6.3,29
"NM89",581,0,0.026,60.09,38.21,0.74,0.2,6.7,32
"NM90",582,0,0.053,59.29,36.42,0.74,0.3,5.9,4
"NM91",583,0,0.056,56.56,38.27,0.74,0.3,6.9,6
"NM92",584,0,0.058,53.17,38.77,0.74,0.4,8,5
"NM93",585,1,0.076,68.54,32.32,0.74,0.4,8.7,9
"NM94",586,1,0.064,82.16,34.56,0.74,0.4,9.8,10
"NM95",587,0,0.068,49.63,30.69,0.74,0.5,8.7,6
"NM96",588,0,0.042,37.41,40.5,0.74,0.3,6.5,31
"NM97",589,3,0.045,38.78,38.78,0.74,0.4,7.4,25
"NM98",590,0,0.037,48.3,40.1,0.74,0.2,6,28
"NM99",591,0,0.028,64.86,39.33,0.74,0.2,6,21
"NN00",592,1,0.059,50.64,34.69,0.74,0.3,5.9,5
"NN01",593,0,0.078,34.2,36.27,0.74,0.5,6.6,4
"NN02",594,1,0.085,45.9,36.59,0.74,0.5,7.4,5
"NN03",595,0,0.062,31.37,40.07,0.74,0.4,6.7,14
"NN04",596,1,0.076,25.68,42.14,0.74,0.5,5.8,14
"NN05",597,0,0.075,29.02,35.42,0.74,0.7,8.7,14
"NN06",598,0,0.085,29.18,28.03,0.74,0.7,8.7,9
"NN07",599,0,0.062,37.68,31.43,0.74,0.4,7.2,6
"NN08",600,2,0.041,36.74,39.61,0.74,0.3,5.8,32
"NN09",601,0,0.035,46.02,38.95,0.74,0.3,6.1,32
"NN10",602,0,0.072,52.4,35.19,0.74,0.4,7.8,5
"NN11",603,0,0.084,42.5,36.31,0.74,0.5,8.1,5
"NN12",604,0,0.1,26.98,36.05,0.74,0.6,6.2,4
"NN13",605,0,0.096,21.26,40.08,0.74,0.6,5.7,9
"NN14",606,0,0.097,23.09,40.79,0.74,0.6,6.1,11
"NN15",607,0,0.077,26.81,41.06,0.74,0.5,6.2,14
"NN16",608,0,0.057,31.96,38.91,0.74,0.4,6.5,23
"NN17",609,0,0.083,25.78,28.96,0.74,0.8,9.2,13
"NN18",610,0,0.099,19.03,31.35,0.74,1,9.6,15
"NN19",611,0,0.044,41.62,38.15,0.74,0.3,6,24
"NN20",612,0,0.114,25.48,34.05,0.74,0.6,6.4,5
"NN21",613,0,0.129,17.76,34.67,0.74,0.7,5.4,6
"NN22",614,0,0.132,16.94,34.6,0.74,0.7,5.4,6
"NN23",615,3,0.092,27.86,36.41,0.74,0.7,8.7,7
"NN24",616,3,0.091,22.51,37.7,0.74,0.6,5.9,18
